"";"";"Alnus.glutinosa.type";"Betula";"Calluna.vulgaris";"Castanea.sativa";"Corylus.avellana";"Cryptomeria.japonica";"Ericaceae";"Frangula.azorica";"Fraxinus.excelsior";"Hedera.azorica";"Ilex.perado";"Juniperus.brevifolia";"Ligustrum";"Myrica.faya";"Myrsine.africana";"Picconia.azorica";"Pinus";"Quercus";"Rubus";"Ulex.type";"Vaccinium.cylindraceum";"Viburnum.tinus";"Allium.type";"Ambrosia";"Anagallis";"Angelica.lignescens";"Apiaceae";"Artemisia";"Asteraceae.Subfam..Cichorioideae";"Bellis.type";"Bidens";"Boraginaceae";"Brassicaceae";"Centaurium";"Cerealia";"Chaerophyllum.azoricum";"Chenopodiaceae.type";"Chrysanthemum.type";"Crassulaceae";"Daucus.carota";"Euphorbia";"Euphrasia";"Fabaceae";"Falcaria.type";"Hydrangea";"Hypericum";"Juncaceae";"Lamiaceae";"Liliaceae.type";"Lysimachia";"Mentha.type";"Plantago.alpina.type";"Plantago.lanceolata.type";"Poaceae";"Pollen..tricolporate..small..smooth.";"Polygonum.persicaria.type";"Potentilla.type";"Ranunculus.cortusifolius.type";"Rubiaceae";"Rumex.acetosella.type";"Rumex.obtusifolius.type";"Sagina";"Secale";"Senecio.type";"Spergula.type";"Teucrium";"Thalictrum";"Urtica";"Verbena.officinalis";"Veronica";"Zea.mays";"Adiantum";"Anogramma.leptophylla.Pteris.cretica";"Asplenium.type";"Athyrium.filix.femina";"Blechnum";"Cheilanthes.type";"Culcita.macrocarpa";"Diphasiastrum.madeirense";"Dryopteris.dilatata.type";"Dryopteris.filix.mas.type";"Huperzia.selago";"Hymenophyllum.tunbrigense.type";"Lycopodium.inundatum";"Monolete.fern.spore";"Ophioglossum.azoricum";"Ophioglossum.lusitanicum";"Osmunda.regalis";"Polypodium";"Pteridium.aquilinum";"Selaginella.kraussiana";"Trichomanes";"Trilete.fern.spore"
"11";178,5;0;0;0,00397878012100979;0;0;0;0,0198938978968261;0,00265252008067319;0;0;0,00928382028235617;0,0941644547392299;0;0,0145888604437025;0,254641908787067;0,0225464179774993;0;0;0,0013262600403366;0;0,00265252008067319;0,00265252008067319;0;0;0;0;0;0;0,00265252008067319;0;0;0;0;0,0013262600403366;0;0;0,00265252008067319;0;0;0;0,00530504016134638;0;0;0;0;0;0;0;0;0,0013262600403366;0;0;0,00265252008067319;0,107427055142596;0;0;0,0185676405647123;0;0;0;0;0;0;0;0;0;0;0;0,0013262600403366;0;0;0;0,0225464179774993;0;0;0;0;0,0623342164793744;0,0013262600403366;0;0;0,00265252008067319;0;0;0,293103447248605;0;0,00265252008067319;0;0,0013262600403366;0,013262600403366;0,00928382028235617;0,0172413805243757;0,00265252008067319
"12";203,5;0;0;0,00849514585618638;0;0;0;0,0339805834247455;0;0;0;0,00364077573552231;0,0898058262092268;0;0,00970873776802715;0,234223303291094;0,015776699800532;0;0;0;0;0,00364077573552231;0,00121359191184077;0;0;0;0;0;0;0,00242718382368154;0;0;0,00121359191184077;0,00121359191184077;0;0,00121359191184077;0;0;0,00121359191184077;0;0;0,00364077573552231;0;0;0;0;0;0;0;0;0;0;0;0,00121359191184077;0,118932039513308;0,00242718382368154;0;0,0145631078886912;0;0;0;0;0;0;0;0,00121359191184077;0;0;0;0;0;0,00121359191184077;0;0,0194174755360543;0;0;0,00242718382368154;0;0,0655339805525085;0;0;0,00121359191184077;0,00121359191184077;0,00121359191184077;0;0,292475729899257;0;0;0;0,00121359191184077;0,0254854375685591;0,0133495135035495;0,0254854375685591;0
"13";290,5;0;0,00122399004557229;0,00856793264825938;0;0;0;0,0244798032406991;0,00367197013671686;0;0;0,0122399027849762;0,0917992673934417;0,00122399004557229;0,0171358629672654;0,279069769987789;0,0281517757066693;0;0,00122399004557229;0;0,00122399004557229;0,00244798009114457;0,00489596018228914;0;0;0;0,00122399004557229;0;0;0,00122399004557229;0,00122399004557229;0;0;0,00122399004557229;0;0;0,00122399004557229;0;0,00122399004557229;0;0;0,00244798009114457;0;0;0;0;0,00244798009114457;0;0;0;0,00122399004557229;0;0;0;0,0709914319602061;0;0;0,0220318231495545;0;0,00122399004557229;0;0;0,00244798009114457;0;0;0,00244798009114457;0;0;0;0;0;0;0;0,0134638928305485;0;0;0;0,00122399004557229;0,0942472474845863;0,00244798009114457;0;0;0,00611995022786143;0;0;0,237454101450571;0;0,00244798009114457;0;0,00122399004557229;0,0208078331039822;0,00611995022786143;0,0220318231495545;0,00244798009114457
"14";343;0;0,00102774873507413;0,0102774930403611;0;0;0;0,0174717370306899;0,00308324762762733;0;0;0,0133607406679884;0,164439877266538;0;0,0123329905105093;0,270298049608156;0,0349434740613798;0,00102774873507413;0,00102774873507413;0;0;0,00411099636270147;0,0020554988925532;0;0;0;0,00102774873507413;0;0;0,00102774873507413;0,00102774873507413;0;0;0;0,00102774873507413;0;0;0;0,00102774873507413;0;0;0,00411099636270147;0;0;0;0;0,00102774873507413;0;0;0;0;0;0;0;0,0534429598271438;0,0020554988925532;0;0,0102774930403611;0;0;0;0;0;0;0;0,00102774873507413;0;0;0;0;0;0;0;0,00822199414780788;0;0;0;0;0,0976361767714055;0;0;0,00102774873507413;0,00308324762762733;0;0;0,190133608445035;0;0,00102774873507413;0,00616649525525467;0;0,0113052417754352;0,00616649525525467;0,0616649539749516;0,00102774873507413
"15";412;0;0;0,00426439285291483;0;0;0;0,0191897647379035;0,00533049106614354;0,00106609821322871;0;0,0127931770086379;0,132196161389187;0;0,00852878415572306;0,254797438859316;0,0394456292391424;0,00106609821322871;0;0;0;0,00533049106614354;0,00319829463968612;0;0;0;0;0;0;0,00319829463968612;0,00106609821322871;0;0;0;0;0;0;0;0;0,00106609821322871;0;0,00319829463968612;0;0;0;0;0,00319829463968612;0;0;0;0,00213219642645742;0;0;0;0,045842216968408;0;0;0,015991471648324;0;0;0,00106609821322871;0;0;0;0;0;0;0;0,00106609821322871;0;0;0;0;0,0127931770086379;0;0;0;0,00213219642645742;0,0959488267897309;0,00213219642645742;0,00106609821322871;0;0,00426439285291483;0,00106609821322871;0;0,246268654703593;0;0;0,00319829463968612;0,00426439285291483;0,0191897647379035;0,0127931770086379;0,0287846486569619;0,00106609821322871
"16";456;0;0;0;0;0;0;0,00362318744034868;0,00241546033543371;0;0,00120773016771686;0,0108695653838479;0,318840574383533;0,00120773016771686;0,00362318744034868;0,182367148127179;0,0301932358161101;0;0;0;0;0,00241546033543371;0,00724637794349925;0;0;0;0,00120773016771686;0;0;0,00241546033543371;0,00120773016771686;0;0;0;0;0;0;0;0;0,00120773016771686;0;0,00724637794349925;0;0;0;0;0,00362318744034868;0;0;0;0;0;0;0;0,0277777785434783;0,00483091760806554;0;0,00362318744034868;0;0,00483091760806554;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00845410504841422;0;0;0;0;0,0978260853918295;0;0;0,00120773016771686;0;0,00241546033543371;0;0,22222221915942;0;0,00241546033543371;0,00120773016771686;0;0,0120772955515648;0,00241546033543371;0,0277777785434783;0
"17";498;0;0;0,0273631843611297;0;0;0;0,0049751244292963;0,0049751244292963;0;0;0,00746268664394446;0,191542287955768;0;0,00870646775126853;0,292288556362949;0,0460199009709908;0;0;0;0;0,00124378110732408;0,00124378110732408;0;0;0;0,0049751244292963;0;0;0;0,00124378110732408;0;0;0;0;0;0;0,00124378110732408;0;0;0;0,00870646775126853;0;0;0,00124378110732408;0;0,00373134332197223;0;0;0;0,00124378110732408;0;0;0;0,0186567166098611;0;0;0,00621890553662038;0,00248756221464815;0,00248756221464815;0;0;0;0;0,00124378110732408;0;0;0;0;0;0;0;0;0,0136815921805648;0;0;0;0;0,119402985017042;0;0;0;0,00124378110732408;0,00124378110732408;0;0,174129352453231;0;0,00248756221464815;0,0111940299659167;0,00124378110732408;0,00124378110732408;0,00870646775126853;0,0248756221464815;0,00124378110732408
"18";533;0;0,00110375290456072;0,00331125871368215;0;0;0;0,00662251742736429;0,00220750580912143;0;0;0,00883002118129809;0,391832227684176;0;0,00662251742736429;0,158940397704867;0,064017660243771;0;0;0;0;0,00110375290456072;0,00662251742736429;0;0;0;0,00220750580912143;0,00110375290456072;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00441501161824286;0;0;0;0;0,00110375290456072;0;0;0;0;0,00110375290456072;0;0;0,0110375269904195;0,00220750580912143;0;0,00993377408585881;0;0,00220750580912143;0;0;0;0;0,00110375290456072;0;0;0;0;0;0;0;0;0,00883002118129809;0;0;0;0;0,0772626930433119;0;0;0;0;0,00110375290456072;0;0,167770418886165;0,00110375290456072;0,00441501161824286;0,0176600444177838;0,00331125871368215;0;0,00772626827673738;0,0231788068853998;0
"19";555;0;0,00122398965855917;0,00856793158298639;0;0;0;0,00734394192442722;0;0;0;0,0183598528245319;0,297429622114333;0;0,00367197030003491;0,198286414742889;0,033047735349029;0;0;0;0;0,00244798064147574;0,00611995094151065;0;0;0;0,00122398965855917;0;0;0,00489596128295148;0;0;0;0;0;0;0;0;0;0;0;0,00856793158298639;0;0;0,00122398965855917;0;0;0;0;0;0;0,00122398965855917;0;0;0,0159118721830562;0,00122398965855917;0;0,00856793158298639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00856793158298639;0;0;0;0;0,119951040837452;0,00122398965855917;0;0;0;0;0;0,214198286925945;0,00122398965855917;0,00122398965855917;0,0208078334660077;0,00122398965855917;0;0,00489596128295148;0,00734394192442722;0
"20";579;0;0,00125786163522013;0,00251572327044025;0;0;0;0,0050314465408805;0,00125786163522013;0;0;0,0125786163522013;0,369811320754717;0;0;0,192452830188679;0,0377358490566038;0;0;0;0;0,00251572327044025;0,00628930817610063;0;0;0;0,00377358490566038;0;0;0,00251572327044025;0;0;0;0;0;0;0;0;0;0;0;0,00628930817610063;0;0;0;0;0,00251572327044025;0;0;0;0;0;0;0;0,0163522012578616;0,00125786163522013;0;0,00377358490566038;0;0,00251572327044025;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00628930817610063;0;0;0;0,00125786163522013;0,10062893081761;0;0;0;0,00251572327044025;0;0;0,168553459119497;0;0,00125786163522013;0,0163522012578616;0,00125786163522013;0;0,0163522012578616;0,0150943396226415;0
"21";607;0;0,00116144062491552;0,00813008223852015;0;0;0;0,00116144062491552;0,00464576036377359;0;0,00116144062491552;0,0174216029660673;0,358885014266144;0;0,00116144062491552;0,178861787888558;0,0441347266596818;0;0;0;0;0;0,00696864161360463;0;0;0;0,00232288124983104;0;0;0,00580720098868911;0,00116144062491552;0;0;0;0;0;0;0;0;0;0;0,00813008223852015;0;0;0;0;0,00116144062491552;0;0;0;0,00116144062491552;0;0;0;0,0197444820800099;0;0;0,0116144019773782;0;0;0;0;0;0;0,00116144062491552;0;0;0,00116144062491552;0,00116144062491552;0;0;0;0;0,00696864161360463;0;0;0;0;0,104529615660515;0;0;0;0;0;0;0,160278744297576;0,00464576036377359;0,00696864161360463;0,025551683068699;0;0;0,00696864161360463;0,00580720098868911;0
"22";627;0,00104931742297202;0;0,00104931742297202;0;0;0;0,0041972714757286;0,00209863662978456;0;0,00104931742297202;0,0104931795812418;0,443861491113389;0;0,00104931742297202;0,140608604248031;0,0293809021139407;0;0;0;0;0,00209863662978456;0,0041972714757286;0;0;0;0,00209863662978456;0;0;0,00209863662978456;0;0;0;0;0;0;0;0;0;0;0;0,00734522552848518;0;0;0,00104931742297202;0;0;0;0,00104931742297202;0;0;0;0;0;0,00734522552848518;0,00734522552848518;0;0,0041972714757286;0;0,00104931742297202;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00524658889870063;0;0;0;0;0,0912906621784193;0;0;0;0;0;0;0,161594963410515;0,00314795405275658;0,00734522552848518;0,0283315846909687;0,00209863662978456;0;0,0083945429514572;0,0157397684799424;0,00209863662978456
"23";651;0;0;0,00241838048529892;0,00120918912173047;0;0;0,00362756960702939;0,00483675872875985;0;0;0,00846432833578924;0,428053206903954;0;0,00725513921405877;0,159613060467455;0,0423216439207842;0;0,00120918912173047;0;0;0,00120918912173047;0,00725513921405877;0;0;0;0,00362756960702939;0;0;0,00362756960702939;0;0;0;0;0;0;0;0,00120918912173047;0;0;0;0,00483675872875985;0;0;0;0;0,00120918912173047;0;0;0;0;0,00120918912173047;0;0,00120918912173047;0,0169286589134165;0,00483675872875985;0,00241838048529892;0,00483675872875985;0;0,00120918912173047;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00483675872875985;0;0;0;0,00120918912173047;0,106408707725583;0;0;0;0;0;0;0,119709794790132;0,00362756960702939;0,00362756960702939;0,0362756960702939;0,00120918912173047;0;0,0060459500923283;0,00241838048529892;0
"24";671;0,00124532909702252;0;0;0;0;0;0,0087173107700668;0;0;0;0,0124533004247707;0,27895392336941;0;0,00622665021238537;0,230386053130986;0,0398505594683573;0;0;0;0;0,00124532909702252;0,0074719793094079;0;0;0;0,00124532909702252;0;0;0,00124532909702252;0;0;0;0;0;0;0;0;0;0;0;0,00622665021238537;0;0;0;0;0,00498132111536285;0;0;0;0;0;0;0;0,00996263986708932;0,00249066055768142;0;0,0112079713277482;0,00124532909702252;0,00124532909702252;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00996263986708932;0;0;0;0;0,110834372362278;0;0;0;0;0;0;0,217932752706215;0;0,00124532909702252;0,0224159402918601;0;0;0,00622665021238537;0,00498132111536285;0
"25";679;0;0;0,00412654809067809;0;0;0;0,00550206347395318;0,00275103076655018;0;0;0,00962861156463127;0,419532323876894;0;0;0,166437413779312;0,0440165058507726;0;0,00137551538327509;0;0;0;0,00962861156463127;0;0;0;0,00687757885722827;0;0;0;0,00137551538327509;0;0;0;0;0;0;0;0;0;0;0,00137551538327509;0;0;0;0;0;0;0;0;0;0;0;0;0,0151306730977316;0,00275103076655018;0;0,00412654809067809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00412654809067809;0;0;0;0,00137551538327509;0,10316368674013;0;0;0;0;0;0;0,158184319538809;0,00275103076655018;0,00962861156463127;0,00962861156463127;0,00412654809067809;0;0,00550206347395318;0,00687757885722827;0
"26";718;0;0;0,00122249298197194;0;0;0;0;0,00122249298197194;0;0;0,00977995065161912;0,331295847295328;0,00122249298197194;0,00244498822922508;0,16625917013865;0,0281173589728854;0;0,00122249298197194;0;0;0,00122249298197194;0,00366748121119702;0;0;0;0,00122249298197194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00244498822922508;0;0;0;0;0,00122249298197194;0;0;0,00122249298197194;0;0;0;0;0,00977995065161912;0,0061124694404221;0,00122249298197194;0,00488997645845016;0;0;0;0;0;0;0;0;0;0;0,00244498822922508;0;0;0;0;0,00855745766964719;0;0;0;0,00366748121119702;0,0757946215142903;0;0;0;0;0;0;0,290953549441598;0;0,00733496242239404;0,0183374083212663;0,00122249298197194;0;0,00855745766964719;0,00733496242239404;0
"27";747;0;0;0,00246305407863574;0;0;0;0,00123152799744594;0,00369458207608167;0;0;0,0172413785504502;0,411330044545961;0;0,00246305407863574;0,146551722469467;0,0406403932556177;0;0;0;0;0;0,00615763615471741;0;0;0;0,00123152799744594;0,00123152799744594;0,00123152799744594;0,00369458207608167;0;0;0;0;0;0;0;0,00123152799744594;0;0;0;0,00862069023335315;0,00123152799744594;0;0,00246305407863574;0;0;0;0;0;0;0;0;0;0,0135467983906246;0,00369458207608167;0,00246305407863574;0,00369458207608167;0;0,00369458207608167;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00369458207608167;0;0;0;0,00492610815727147;0,109605909373674;0;0;0;0,00123152799744594;0;0;0,15517241270282;0,00246305407863574;0,00246305407863574;0,0147783244718144;0,00246305407863574;0;0,00615763615471741;0,0172413785504502;0
"28";773;0;0;0,00252525189996557;0;0;0;0,00252525189996557;0,00126262594998278;0;0;0,0138888882010732;0,412878787441087;0;0,00378787784994835;0,176767677017792;0,0353535348533058;0;0,00126262594998278;0;0;0,00126262594998278;0;0;0;0;0,00505050379993113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0088383844011421;0;0;0;0;0,00126262594998278;0;0;0;0;0;0;0;0,0101010103511249;0,00757575845115932;0;0,00757575845115932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0088383844011421;0;0;0;0;0,0669191918566632;0;0;0;0;0;0;0,185606061418934;0,00252525189996557;0,00631313250117654;0,018939394752267;0,00126262594998278;0;0,00631313250117654;0,0113636363011077;0
"29";854,5;0;0;0,00119760443313134;0;0;0;0,00119760443313134;0,00119760443313134;0;0,00119760443313134;0,0179640726694252;0,360479043419241;0;0,00838323308940442;0,162874252285503;0,0479041917276489;0;0;0;0;0;0,00718562865627308;0;0;0;0,00119760443313134;0;0;0,00119760443313134;0;0;0;0,00119760443313134;0;0;0;0;0;0;0;0,00359281535687906;0;0;0;0;0,00119760443313134;0;0;0;0;0;0;0;0,0143712573125462;0,00718562865627308;0;0,00598802422314174;0;0,00359281535687906;0;0;0;0;0,00119760443313134;0;0;0;0,00119760443313134;0;0;0;0;0,00958083752253576;0;0;0;0;0,0970059878884291;0;0;0;0,00119760443313134;0,00359281535687906;0;0,184431138254323;0,00239520886626268;0,00838323308940442;0,0131736528794148;0;0;0,0167664661788088;0,0119760484462835;0
