"";"";"Pinus.canariensis";"Ilex";"Ericaceae";"Morella.faya";"Picconia.Olea.type";"Prunus";"Viburnum";"Juniperus";"Phoenix.canariensis";"Salix.canariensis";"Argyranthemum.type";"Artemisia";"Chamaecytisus.type";"Cistus";"Convolvulus";"Echium";"Euphorbia";"Globularia";"Hypericum";"Jasminum";"Kleinia.type";"Periploca";"Plantago";"Rhamnus";"Rumex";"Sideritis";"Sonchus.type";"Teline.type.cf.";"Aeonium";"Campanula.type";"Carduus.type";"Lotus";"Vicia.Medicago.type";"Papaver.type";"Primula.type";"Reseda.type";"Semele.cf.";"Apiaceae";"Asteraceae.undiff.";"Brassicaceae";"Caryophyllaceae";"Chenopodiaceae";"Rubiaceae";"Urticaceae";"Poaceae";"Poaceae.cerealia.type";"Polycarpaea.type";"Davallia";"Ophioglossum";"Polypodium";"Pterydophyta.undiff."
"11";1775;0;0;0;0,00479846401919386;0;0;0;0,0815738963262956;0,0431861801727447;0,00479846401919386;0,0153550860614203;0;0,012476008049904;0;0;0;0;0;0;0;0,0355086371420346;0;0,00287907901151632;0;0;0;0,00479846401919386;0;0;0;0;0;0;0;0;0;0;0,00479846401919386;0,127639155510557;0,00479846401919386;0;0;0,00287907901151632;0;0,56238004024952;0,0508637242034549;0;0;0,0268714011074856;0,00959692903838772;0,00479846401919386
"12";1804;0;0;0,00193236700193237;0,0057971010057971;0;0,00193236700193237;0,0057971010057971;0,0502415460502415;0,0318840580318841;0,00772946900772947;0,00193236700193237;0;0,00193236700193237;0;0,00193236700193237;0;0;0;0;0;0,0135265700135266;0;0,00772946900772947;0;0;0;0,0115942030115942;0;0;0;0;0;0;0;0;0;0;0,00193236700193237;0,0724637680724638;0,0115942030115942;0,00193236700193237;0;0,00966183600966184;0;0,657971014657971;0,0637681160637681;0;0,00193236700193237;0,0328502420328502;0,00193236700193237;0
"13";1839;0;0;0,00181653000544959;0;0;0;0,00181653000544959;0,0426884651280654;0,0199818350599455;0,00181653000544959;0,00454132601362398;0;0;0;0,00181653000544959;0;0;0;0;0;0,0199818350599455;0;0,00181653000544959;0;0;0;0,00454132601362398;0;0;0;0;0;0,00181653000544959;0;0;0;0;0;0,0381471391144414;0;0,0136239780408719;0;0,00908265202724796;0;0,707538603122616;0,035422343106267;0;0,00363306101089918;0,0681198912043597;0,0136239780408719;0,00817438702452316
"14";1906;0;0;0,00725952800725953;0,00907441000907441;0;0,00453720500453721;0,0163339380163339;0,101633394101633;0,0235934660235935;0;0,0117967330117967;0;0,00453720500453721;0;0,00272232300272232;0;0;0;0,00453720500453721;0;0,0471869330471869;0;0,00725952800725953;0;0;0;0,00453720500453721;0;0;0;0;0;0,00272232300272232;0;0;0;0;0,00272232300272232;0,0281306720281307;0,00272232300272232;0,00907441000907441;0,00272232300272232;0,0208711430208711;0;0,586206897586207;0;0,00725952800725953;0;0,0589836660589837;0;0,0335753180335753
"15";1968;0;0;0,00494641399010717;0,102225885795548;0,00247320699505359;0,00247320699505359;0,00247320699505359;0,0560593568878813;0,0387469079225062;0,00247320699505359;0,00741962098516076;0;0,00494641399010717;0;0,00741962098516076;0;0;0;0,00494641399010717;0,00247320699505359;0,0156636439686727;0;0,00494641399010717;0;0;0;0,0280296779439406;0;0;0;0,00494641399010717;0,00247320699505359;0;0;0;0;0;0;0,0230832649538335;0,00247320699505359;0,0131904369736191;0,00247320699505359;0,0131904369736191;0,0131904369736191;0,430338004139324;0,0280296779439406;0,00247320699505359;0,00989282798021434;0,132728771734542;0;0,033800494932399
"16";2030;0,00196463699607073;0;0,021611001956778;0,0451866399096267;0,00196463699607073;0;0;0,0569744598860511;0,00687622798624754;0;0,021611001956778;0;0,0166994109666012;0;0,00196463699607073;0;0;0;0;0;0,0707269158585462;0;0,021611001956778;0;0,021611001956778;0;0,075638506848723;0;0;0;0;0;0,00196463699607073;0;0;0;0;0;0,0451866399096267;0,0589390958821218;0,00491159099017682;0;0,00196463699607073;0;0,4194499011611;0,0874263258251474;0;0,00196463699607073;0,00884086398231827;0;0,00491159099017682
"17";2092;0,00691016801382034;0;0,00197433400394867;0,0848963471697927;0;0,0572556761145114;0;0,0345508390691017;0,0157946690315893;0;0,020730503041461;0;0,0157946690315893;0;0;0;0;0;0,008884501017769;0;0,041461007082922;0;0;0;0,0157946690315893;0;0,0641658441283317;0;0;0;0;0;0;0,00197433400394867;0;0;0,0641658441283317;0;0,0750246791500494;0,0572556761145114;0;0,00493583400987167;0;0,011846002023692;0,340572557681145;0,0641658441283317;0;0;0,00493583400987167;0;0,00691016801382034
"18";2153;0;0;0;0,0515873022063492;0;0,00793650803174603;0,00496031701984127;0,0575396832301587;0,0357142861428571;0;0,00793650803174603;0;0,0873015873492063;0;0;0,00297619001190476;0;0;0;0;0,0734126982936508;0;0,0109126980436508;0;0,0327380951309524;0;0,0267857141071429;0;0;0;0,00793650803174603;0;0,00297619001190476;0,00496031701984127;0;0;0,00793650803174603;0;0,135912698543651;0,0188492060753968;0,00297619001190476;0;0;0;0,31845238227381;0,0922619053690476;0;0;0,00297619001190476;0;0,00496031701984127
"19";2215;0,00198807199801193;0;0,00198807199801193;0,054671967945328;0;0,0119284289880716;0,00497017899502982;0,0318091449681909;0,0159045729840954;0;0;0;0,0298210739701789;0;0,00198807199801193;0,00695824999304175;0;0;0;0;0,0457256459542743;0;0;0;0,0178926439821074;0;0,0347912519652087;0;0;0;0,0228628229771372;0;0;0;0;0;0,0139165009860835;0,00497017899502982;0,121272365878728;0,0178926439821074;0;0,00497017899502982;0;0;0,492047713507952;0,054671967945328;0;0,00198807199801193;0;0;0,00497017899502982
"20";2275;0,001980198;0;0,004950495;0,034653465;0,001980198;0,020792079;0,020792079;0,053465347;0,004950495;0,001980198;0,001980198;0;0,051485149;0,001980198;0,001980198;0;0;0;0,001980198;0;0,06039604;0;0,001980198;0,004950495;0,022772277;0;0,053465347;0;0;0;0,013861386;0;0;0;0;0;0,006930693;0;0,103960396;0,013861386;0;0;0,001980198;0;0,442574257;0,053465347;0,001980198;0,001980198;0,001980198;0;0,008910891
"21";2335;0;0;0;0,0488038280976077;0;0;0,007655502015311;0,0421052630842105;0,0985645931971292;0;0;0;0,0392344500784689;0;0,007655502015311;0,00287081300574163;0;0;0,0296650720593301;0;0,00287081300574163;0;0,00478468900956938;0;0,00478468900956938;0;0,0248803830497608;0;0;0;0,00956937801913876;0;0;0;0;0;0;0,00287081300574163;0,053588517107177;0,0172248800344498;0,00287081300574163;0,007655502015311;0,00956937801913876;0,00956937801913876;0,495693780991388;0,0248803830497608;0,0124401910248804;0,00956937801913876;0,0143540670287081;0;0,0162679430325359
"22";2887;0;0;0,00647548598704903;0,0499537469000925;0;0,00277520799444958;0;0,105457908789084;0,124884365750231;0,00277520799444958;0,00925069398149861;0;0,00925069398149861;0;0,0120259019759482;0,00277520799444958;0;0,00647548598704903;0,0120259019759482;0;0,00277520799444958;0;0,00925069398149861;0;0,00647548598704903;0;0,0249768729500463;0;0;0;0;0,0185013879629972;0;0;0;0,00647548598704903;0;0;0,0434782609130435;0;0;0,00647548598704903;0,00277520799444958;0,0249768729500463;0,410730804178538;0,0157261789685476;0,00647548598704903;0,0453283999093432;0,0175763179648474;0;0,0138760409722479
"23";3597,5;0;0;0,00699300703496504;0,0201048951005245;0;0;0,00349650301748252;0,102272727511364;0,16695804283479;0;0,0104895100524476;0;0,0201048951005245;0;0;0,00699300703496504;0;0,0104895100524476;0,0104895100524476;0;0,00699300703496504;0;0,00349650301748252;0;0,00349650301748252;0;0,0611888113059441;0;0;0;0,00349650301748252;0,00349650301748252;0;0;0;0,00349650301748252;0;0;0,0480769232403846;0,00349650301748252;0;0;0;0,0515734272578671;0,313811190569056;0,00699300703496504;0,00699300703496504;0,104895105524476;0;0;0,0201048951005245
"24";4299;0;0;0,0147662019704676;0,0221493029557014;0;0;0;0,0943396228113208;0,159967185680066;0;0;0;0,0147662019704676;0;0,0073831009852338;0,0147662019704676;0;0,0508613618982773;0,0721903198556194;0,0073831009852338;0,0073831009852338;0;0,0147662019704676;0;0;0;0,0147662019704676;0;0,0147662019704676;0;0;0;0;0;0;0;0;0,0073831009852338;0,0360951599278097;0;0;0;0;0,0582444628835111;0,210828547578343;0;0;0,125512714748975;0;0;0,0516817058966366
